loai_bds,tieu_de,gia,dien_tich,kich_thuoc,huong,so_tang,so_phong_ngu,so_wc,phap_ly,quan_huyen,dia_chi,nguon
Đất nền dự án,"Bán đất nền dự án tại Khu đô thị mới Cẩm Văn, Phường An Nhơn Đông, Gia Lai","2,7 tỷ",125 m²,,Đông,,,,,TX. An Nhơn,TX. An Nhơn (P. An Nhơn Đông mới),https://batdongsan.com.vn/ban-dat-nen-du-an-duong-quoc-lo-1a-phuong-nhon-hung-1-khu-do-thi-moi-cam-van/ban-at-tai-o-ong-gia-lai-pr45638121
Nhà mặt phố,"Bán Nhà 3 Mê Mặt Tiền Kinh Doanh Lộ giới rộng 16m, P. Ghềnh Ráng, gần Biển Quy Nhơn, Giá 4 Tỷ xxz","4,89 tỷ",40 m²,,Nam,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Nam mới),https://batdongsan.com.vn/ban-nha-mat-pho-phuong-ghenh-rang/ban-3-me-tien-kinh-doanh-lo-gioi-rong-16m-p-gan-bien-quy-nhon-gia-4-ty-xxz-pr45207638
Đất nền dự án,"Đất Khu Đô Thị Cẩm Văn, Phường An Nhơn Đông","2,5 tỷ",125 m²,,Đông,,,,,TX. An Nhơn,TX. An Nhơn (P. An Nhơn Đông mới),https://batdongsan.com.vn/ban-dat-nen-du-an-duong-quoc-lo-1a-phuong-nhon-hung-1-khu-do-thi-moi-cam-van/at-o-ong-pr45622070
Shophouse,"Bán căn góc shophouse tại Homliday Eo Gió, 4 tỷ, 90m2, giá ưu đãi hàng hiếm",4 tỷ,90 m²,"90m2,",Đông,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Đông mới),https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-quoc-lo-19b-xa-nhon-ly-flc-quy-nhon/ban-tai-homliday-eo-gio-4-ty-90m2-gia-uu-ai-hang-hiem-pr45450759
Bán đất,"Bán đất ven biển Cát Khánh, huyện Phù Cát. Diện tích 200m2, full thổ cư. Giá bán tốt nhất",840 triệu,·200 m²,"200m2,",,,,,,H. Phù Cát,H. Phù Cát (X. Đề Gi mới),https://batdongsan.com.vn/ban-dat-duong-dt-639-xa-cat-khanh-1-149/ban-ven-bien-huyen-phu-dien-tich-da-dang-full-tho-cu-gia-ban-tot-nhat-pr43027902
Cần hộ chung cư,Sót lại căn hộ 2 phòng ngủ 2 tỷ 100 tr giá tốt nhất Altara Quy Nhơn view biển hướng Đông Nam,"2,1 tỷ","·65,5 m²",,Đông,,2 PN,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-hung-dao-phuong-hai-cang-altara-residences/sot-lai-2-phong-ngu-gia-tot-nhat-quy-nhon-tang-cao-view-bien-huong-ong-nam-pr45369238
Shophouse,Bán shophouse Phú Tài Centrallife sổ hồng lâu dài,Giá thỏa thuận,169 m²,,Nam,,,,Sổ hồng,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Nam mới),https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-hoang-van-thu-phuong-quang-trung-7-phu-tai-2-central-life/ban-centrallife-so-hong-lau-dai-pr43062358
Bán đất,Cập nhật hàng giá rẻ khu tái định cư Khe Đá Nhơn Hội,1 tỷ,100 m²,,Đông,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Đông mới),https://batdongsan.com.vn/ban-dat-duong-quoc-lo-19b-xa-nhon-hoi-1-155/cap-nhat-gio-hang-gia-re-khu-tai-dinh-cu-khe-da-hoi-pr42494734
Cần hộ chung cư,"Bán CC 2PN 2wc tại Xuân Thủy, Quang Trung, Quy Nhơn, 1,1 tỷ, 70m2 sổ hồng công chứng ngay","1,1 tỷ",70 m²,70m2,Nam,,2 PN,2 WC,Sổ hồng,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Nam mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xuan-thuy-phuong-quang-trung-7-chung-cu-hoang-van-thu-quy-nhon/ban-cc-2pn-2wc-tai-1-1-ty-70m2-so-hong-cong-ngay-pr45791415
Nhà mặt phố,"SIU PHẨM Nhà 3 Mê Đẹp Mặt Tiền Kinh Doanh Phường Lê Lợi cách Biển Quy Nhơn 300m, Giá Nhỉn 7 Tê xx","7,59 tỷ",49 m²,,,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-nha-mat-pho-phuong-le-loi-5/siu-pham-3-me-ep-tien-kinh-doanh-cach-bien-quy-nhon-300m-gia-nhin-7-te-xx-pr45755792
Bán đất,"Bán nhanh lô đất phường Quy Nhơn Nam, ngay KĐT Kim Cúc Quy Nhơn","5,2 tỷ",115 m²,,Nam,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Nam mới),https://batdongsan.com.vn/ban-dat-phuong-nguyen-van-cu/ban-nhanh-lo-at-quy-nhon-nam-k-t-kim-cuc-quy-nhon-pr45583587
Nhà mặt phố,"(Rẻ) bán nhanh nhà chỉ 2. Xtỷ, mặt tiền Phan Thúc Trực lộ giới 16m gần Sông Hà Thanh Quy Nhơn","2,67 tỷ",44 m²,,Đông,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Đông mới),https://batdongsan.com.vn/ban-nha-mat-pho-duong-phan-thuc-truc-phuong-quang-trung-7-155/ban-tien-tam-quy-nhon-chi-nhin-2ty3x-p-gan-cho-xom-tiu-pr45061496
Nhà biệt thự/liền kề,"Hưng Định CiTy- Nơi Đáng Sống ,Đáng Đầu Tư Giữa Lòng An Nhơn","2,8 tỷ",90 m²,,,,,,,TX. An Nhơn,TX. An Nhơn (P. Bình Định mới),https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-ngo-gia-tu-phuong-binh-dinh-hung-dinh-city/inh-noi-ang-song-ang-au-giua-long-an-nhon-pr45725014
Cần hộ chung cư,Căn góc 2PN chỉ thanh toán 2.2 tỷ - giá tốt nhất dự án,Giá thỏa thuận,"70,4 m²",,,,2 PN,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-tat-thanh-phuong-ly-thuong-kiet-1-grand-center-quy-nhon/goc-2pn-gia-hop-ong-2-9-ban-2-2-ty-gia-tot-nhat-pr45642198
Đất nền dự án,"KĐT đầu tiên của Bồng Sơn chinh thức ra sổ! Hạ tầng hoàn thiện, nâng tầm chuẩn sống","1,13 tỷ",65 m²,,Nam,,,,,TX. Hoài Nhơn,TX. Hoài Nhơn (P. Hoài Nhơn Nam mới),https://batdongsan.com.vn/ban-dat-nen-du-an-xa-hoai-tan-phuc-gia-tan/k-t-au-tien-cua-bong-son-chinh-thuc-ra-so-ha-tang-hoan-thien-nang-tam-chuan-song-pr45650151
Nhà mặt phố,"Bán Nhà 3 Mê Ôm GÓC 2 Mặt Tiền gần Ỷ Lan Quy Nhơn, 65,2m2 , Giá Chỉ 6 Tỷ 4xz
+Gần Ỷ Lan Chợ Đầm","6,49 tỷ",65 m²,"65,2m2",,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-nha-mat-pho-phuong-thi-nai/ban-3-me-om-goc-2-tien-gan-y-lan-quy-nhon-65-2m2-gia-chi-6-ty-4xz-gan-y-lan-cho-am-pr45692889
Cần hộ chung cư,"3,1 tỷ giá rẻ vô địch căn 3PN góc hướng biển sổ hồng lâu dài tặng gói phí QL 3 năm LH 0332 428 ***","3,1 tỷ","87,5 m²",,,,3 PN,,Sổ hồng,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-le-loi-5-simona-heights/chi-thanh-toan-1-tuong-uong-29-trieu-moi-thang-2pn-re-nhat-gio-hang-oc-quyen-pr45328175
Cần hộ chung cư,CÒN DUY NHẤT 1 CĂN 2PN VIEW BIỂN TẦNG CAO MÀ GIÁ LẠI QUÁ TỐT - BÀN GIAO 2026,"3,2 tỷ",66 m²,,,,2 PN,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-duan-phuong-ly-thuong-kiet-1-the-sailing-quy-nhon/co-vi-tri-dep-nhat-so-huu-so-do-lau-dai-ban-giao-2026-pr43192710
Cần hộ chung cư,Một căn Phú Tài Residence 3PN full nội thất giá chỉ 2 tỷ 900 - tầng cao view đẹp,"2,9 tỷ",86 m²,,,,3 PN,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-duc-tho-phuong-hai-cang-phu-tai-residence/mot-3pn-full-noi-that-gia-chi-2-ty-750-pr45595047
Đất nền dự án,Giá 5tr/m2 - đất nền cạnh thành phố biển Quy Nhơn,1 tỷ,200 m²,,,,,,,H. Vân Canh,H. Vân Canh (X. Canh Vinh mới),https://batdongsan.com.vn/ban-dat-nen-du-an-duong-quoc-lo-19c-xa-canh-vinh-becamex-vsip-binh-dinh/gia-tu-5tr-m2-at-thanh-pho-bien-quy-nhon-pr45324683
Nhà mặt phố,BÁN NHÀ MẶT TIỀN NGUYỄN THỊ MINH KHAI QUY NHƠN- NGUYỄN VĂN CỪ,"5,6 tỷ",41 m²,,Nam,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Nam mới),https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-thi-minh-khai-phuong-nguyen-van-cu-155/ban-tien-quy-nhon-cu-pr45119725
Bán đất,Bán lô đất Cát Tiến cách biển 700m giá 1tỷ2xx/200m2,"1,25 tỷ",200 m²,200m2,,,,,,H. Phù Cát,H. Phù Cát (X. Cát Tiến mới),https://batdongsan.com.vn/ban-dat-xa-cat-hai-1/ban-lo-tien-cach-bien-700m-gia-1ty090-200m2-pr43843035
Cần hộ chung cư,Chuyển nhượng căn hộ Phú Tài Central Life - giá 1tỷ250triệu - sổ sẵn lâu dài - tặng gói nội thất,"1,25 tỷ",35 m²,,Nam,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Nam mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-hoang-van-thu-phuong-quang-trung-7-phu-tai-2-central-life/chuyen-nhuong-so-san-lau-dai-quy-4-2025-nhan-nha-pr44108210
Đất nền dự án,"Bán 1 lô đất BT đẹp, nhiều tiện ích tại Khu biệt thự Đại Phú Gia, giá thỏa thuận, 412m2",Giá thỏa thuận,412 m²,412m2,Đông,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Đông mới),https://batdongsan.com.vn/ban-dat-nen-du-an-duong-quoc-lo-19-phuong-nhon-binh-khu-biet-thu-dai-phu-gia/ban-1-at-bt-ep-nhieu-tien-ich-tai-ai-gia-thoa-thuan-412m2-pr45533828
Nhà mặt phố,"BÁN NHANH NHÀ MẶT TIỀN XUÂN DIỆU 335 M2, NGANG 7M, 80 TỶ KHU VỰC SẦM UẤT NHẤT QUY NHƠN",80 tỷ,335 m²,"335 M2,",,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-nha-mat-pho-duong-xuan-dieu-phuong-tran-phu-4-155/ban-nhanh-tien-335-m2-ngang-7m-80-ty-khu-vuc-sam-uat-nhat-quy-nhon-pr44722310
Shophouse,"Duy nhất 1 căn view sông view công viên trọn gói chỉ 5,2 tỷ mở trong vòng 24h","5,2 tỷ","92,5 m²",,Bắc,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Bắc mới),https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-phuong-tran-quang-dieu-solera-quy-nhon/keo-thom-oc-ban-chi-5-ty-so-huu-ngay-nhon-pr45179494
Đất nền dự án,Chính chủ cần bán lô góc đất khu đơ 1 KDT Cẩm Văn Nhơn Hưng (cũ),Giá thỏa thuận,125 m²,,Đông,,,,,TX. An Nhơn,TX. An Nhơn (P. An Nhơn Đông mới),https://batdongsan.com.vn/ban-dat-nen-du-an-duong-quoc-lo-1a-phuong-nhon-hung-1-khu-do-thi-moi-cam-van/chinh-chu-can-ban-goc-at-o-1-kdt-cu-pr45773075
Nhà riêng,"Bán Nhà Riêng tại Ngô Đức Đệ, p Nguyễn Văn Cừ, TP Quy Nhơn, giá tốt, view đẹp, 44m2","3,79 tỷ",44 m²,44m2,Nam,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Nam mới),https://batdongsan.com.vn/ban-nha-rieng-duong-ngo-duc-de-phuong-nguyen-van-cu-155/ban-tai-uc-e-p-tp-quy-nhon-gia-tot-view-ep-44m2-pr45667983
Bán đất,Cần bán gấp lô đất mặt tiền Lê Đình Lý Quy Nhơn Đông,"2,85 tỷ",45 m²,,Đông,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Đông mới),https://batdongsan.com.vn/ban-dat-duong-le-dinh-ly-phuong-nhon-binh-155/can-ban-gap-lo-at-mat-tien-inh-quy-ong-pr45654806
Cần hộ chung cư,Căn hộ hạng sang Simona Heights Quy Nhơn - 2 phòng ngủ 2.68 tỷ - thanh toán 600 triệu nhận nhà,"2,68 tỷ",65 m²,,,,2 PN,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-le-loi-5-simona-heights/hang-sang-quy-nhon-2-phong-ngu-tu-2-68-ty-thanh-toan-600-trieu-nhan-nha-pr45253487
Cần hộ chung cư,"Bán căn hộ 2PN 2WC Phú Tài 2 Central Life, giá rẻ nhất 2 tỷ 080tr. 0935 739 *** Mr Quang Dũng","2,08 tỷ","58,5 m²",,Nam,,2 PN,2 WC,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Nam mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-hoang-van-thu-phuong-quang-trung-7-phu-tai-2-central-life/ban-2pn-2wc-2-gia-re-nhat-1-ty-950trd-mr-dung-pr43764677
Cần hộ chung cư,Chính chủ cần bán nhanh căn hộ Phú Tài Residence giá rẻ nhất thị trường. Liên hệ: 0903 601 ***,"2,3 tỷ",65 m²,,,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-duc-tho-phuong-hai-cang-phu-tai-residence/chinh-chu-ban-nhanh-gia-re-nhat-thi-truong-lien-he-pr42739765
Cần hộ chung cư,"Chuyển nhượng căn 2PN Ecolife Quy Nhơn - giá chỉ 1,2 tỷ đồng","1,2 tỷ",60 m²,,Đông,,2 PN,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Đông mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dien-bien-phu-phuong-nhon-binh-ecolife-riverside/chuyen-nhuong-gap-2-gia-re-nhat-thi-truong-pr36127044
Cần hộ chung cư,"Độc quyền giỏ hàng chủ đầu tư căn hộ 2PN giá chỉ từ 2,4 tỷ - Tiềm năng tăng giá 30% sau bàn giao","2,43 tỷ","68,98 m²",,,29 tầng,2 PN,,Sổ hồng,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-hung-dao-phuong-le-loi-5-simona-heights/oc-quyen-gio-hang-chu-au-tu-2pn-gia-chi-tu-2-4-ty-tiem-nang-tang-gia-30-sau-ban-giao-pr45672312
Đất nền dự án,Bán đất 112m2 dự án Iconic Quy Nhơn. Cắt lỗ 200 triệu. Giá 2 tỷ 990 triệu,"2,99 tỷ",112 m²,112m2,,,,,,H. Tuy Phước,H. Tuy Phước (X. Tuy Phước mới),https://batdongsan.com.vn/ban-dat-nen-du-an-duong-quoc-lo-19-xa-phuoc-thuan-2-quy-nhon-iconic/ban-at-80m2-en-112m2-cat-200-trieu-pr45205209
Cần hộ chung cư,Căn hộ 3PN 88m2 Simona Heights giá 3 tỷ. Miễn phí quản lý 3 năm. LH 0935 739 ***,3 tỷ,88 m²,88m2,,,3 PN,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-hung-dao-phuong-le-loi-5-simona-heights/booking-de-duoc-chiet-khau-cao-3pn-88m2-gia-2-6-ty-lien-he-pr42087802
Đất nền dự án,Cần bán gấp đất nền nhà phố khu Đại Phú Gia TP Quy Nhơn,"2,45 tỷ",63 m²,,Đông,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Đông mới),https://batdongsan.com.vn/ban-dat-nen-du-an-duong-quoc-lo-19-phuong-nhon-binh-khu-biet-thu-dai-phu-gia/ket-ngan-hang-can-ban-gap-tp-quy-lien-he-pr39094111
Cần hộ chung cư,Rẻ nhất căn 2PN giá 1.99 tỷ Phú Tài Residence (rẻ hơn căn khác 200 - 400 triệu),"1,99 tỷ",65 m²,,,,2 PN,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-duc-tho-phuong-hai-cang-phu-tai-residence/re-nhat-2pn-gia-1-85-ty-re-hon-khac-200-400-trieu-pr44736861
Nhà riêng,"Bán gấp nhà riêng tại hẻm 4, Lê Hồng Phong, 3 tỷ, 70.9m2",3 tỷ,"70,9 m²",70.9m2,,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-nha-rieng-duong-le-hong-phong-phuong-le-loi-5-155/ban-gap-tai-hem-4-3-ty-70-9m2-pr45795441
Cần hộ chung cư,"Căn hộ 2PN Altara Quy Nhơn - giá chỉ 1,8 tỷ","1,8 tỷ",65 m²,,,,2 PN,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-hung-dao-phuong-hai-cang-altara-residences/2pn-quy-nhon-gia-chi-tu-1-8-ty-pr45805814
Bán đất,Trực diện biển mỹ thọ phù my. 700mv sổ thổ cư giá tốt,"5,9 tỷ",700 m²,,Đông,,,,,H. Phù Mỹ,H. Phù Mỹ (X. Phù Mỹ Đông mới),https://batdongsan.com.vn/ban-dat-xa-my-tho/truc-dien-bien-phu-700mv-so-cu-gia-tot-pr45667216
Bán đất,"Bán nhanh lô đất biển cách biển 400m ở Tân Thắng - Cát Tiến, DT 8X20=160m2 giá rẻ chỉ 950 triệu",950 triệu,160 m²,8X20,,,,,,H. Phù Cát,H. Phù Cát (X. Cát Tiến mới),https://batdongsan.com.vn/ban-dat-duong-dt-639-xa-cat-hai-1-149/chinh-chu-ban-lo-bien-dien-tich-160m2-gan-bien-tan-thang-tien-gia-re-nhat-chi-790-trieu-pr44397067
Nhà mặt phố,"Nhà phố đang kinh doanh khách sạn, 20 phòng, 6 tầng và 1 hầm",24 tỷ,105 m²,,,6 tầng,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-hue-phuong-hai-cang-155/ang-kinh-doanh-khach-san-20-phong-6-tang-va-1-ham-pr45596382
Đất nền dự án,ĐẤT NỀN TÁI ĐỊNH CƯ TRONG LÒNG KHU CÔNG NGHIỆP VSIP BÌNH ĐỊNH,"1,2 tỷ",200 m²,,,,,,,H. Vân Canh,H. Vân Canh (X. Canh Vinh mới),https://batdongsan.com.vn/ban-dat-nen-du-an-xa-canh-vinh-becamex-vsip-binh-dinh/at-tai-inh-cu-trong-long-khu-cong-nghiep-inh-pr45466468
Bán đất,"Bán đất khu suối ông Sung, Xã Cát Tiến. Giá tốt nhất thị trường. Liên hệ 0935 739 ***",2 tỷ,100 m²,,,,,,,H. Phù Cát,H. Phù Cát (X. Cát Tiến mới),https://batdongsan.com.vn/ban-dat-duong-hoang-sa-xa-cat-tien-149/ban-mat-tien-gia-soc-chi-18trd-m2-lien-he-pr43334770
Đất nền dự án,"Bán Đất 2 Mtiền trước 16m - sau5 Becamex Vsip Bình Định, 200m2, 5*40","1,2 tỷ",200 m²,"200m2,",,,,,,H. Vân Canh,H. Vân Canh (X. Canh Vinh mới),https://batdongsan.com.vn/ban-dat-nen-du-an-xa-canh-vinh-becamex-vsip-binh-dinh/ban-at-2-mtien-truoc-16m-sau5-inh-200m2-5-40-pr45712268
Nhà mặt phố,Bất động sản dòng tiền cho thuê,14 tỷ,110 m²,,Nam,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Nam mới),https://batdongsan.com.vn/ban-nha-mat-pho-duong-tay-son-phuong-nguyen-van-cu-155/bat-ong-san-dong-tien-cho-thue-pr45673770
Nhà mặt phố,"Bán Nhà Mặt Tiền 4 Tầng Hà Thanh Đống Đa Phường Quy Nhơn , 84m2 , Giá 5 Tỷ 5zz, gần Đồng Gia Viên","5,59 tỷ",84 m²,84m2,,4 Tầng,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-nha-mat-pho-phuong-dong-da/ban-tien-4-tang-ha-thanh-ong-a-quy-nhon-84m2-gia-5-ty-5zz-gan-ong-gia-vien-pr45166985
Nhà mặt phố,"Bán nhà MT Lê Thanh Nghị, view công viên Quy Nhơn 80m2 giá chỉ 4 tỷ xxz, ngang 4m lộ giới 12m","4,79 tỷ",80 m²,80m2,,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-nha-mat-pho-pho-le-thanh-nghi-phuong-dong-da-155/ban-tien-view-cong-vien-quy-nhon-80m-gia-chi-4-te-xxz-ngang4m-lo-gioi-12m-pr45692826
Đất nền dự án,"Cần bán các nền đất khu biệt thự Đại Phú Gia, giá tốt nhất thị trường. SĐT liên hệ 0906 496 ***","2,3 tỷ",63 m²,,Đông,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Đông mới),https://batdongsan.com.vn/ban-dat-nen-du-an-duong-vo-nguyen-giap-phuong-nhon-binh-khu-biet-thu-dai-phu-gia/can-ban-cac-gia-tot-nhat-chi-33-trieu-m2-sdt-lien-he-0906496189-pr22539551
Bán đất,"BÁN ĐẤT LÔ GÓC 2 MẶT TIỀN 1052M cách ĐƯỜNG AN DƯƠNG VƯƠNG 50m,cách mặt BIỂN 50M",145 tỷ,1.052 m²,50M                         145,Nam,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Nam mới),https://batdongsan.com.vn/ban-dat-duong-an-duong-vuong-phuong-nguyen-van-cu-155/ban-lo-goc-2-mat-tien-dt-1052m2-noi-bo-cach-bien-200m-pr43629729
Shophouse,"Shophouse tại KĐT Solrise Nhơn Phú cao 3,5 tầng sở hữu đợt 1 hỗ trợ vay 0% đến 18 tháng","5,9 tỷ",110 m²,,Bắc,"3,5 tầng",,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Bắc mới),https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-tay-son-phuong-nhon-phu-1-solrise-nhon-phu/ban-tai-kdt-cao-3-5tang-so-huu-dot-1-chi-tu-599tr-pr43561374
Bán đất,"Bán gấp đất nền 150m2 tại Quốc lộ 19C, trong khu công nghiệp Becamex VSIP Bình Định, 835 triệu/nền",835 triệu,150 m²,150m2,,,,,,H. Vân Canh,H. Vân Canh (X. Canh Vinh mới),https://batdongsan.com.vn/ban-dat-duong-quoc-lo-19c-xa-canh-vinh-153/ban-gap-nen-150m2-tai-trong-khu-cong-nghiep-becamex-vsip-binh-dinh-835-trieu-nen-pr42992905
Bán đất,"Bán đất nền dự án đẹp tại khu TĐC thôn Phú Gia, 650 triệu, 130.3m2, nhiều tiện ích HOT",650 triệu,"130,3 m²","130.3m2,",,,,,,H. Phù Cát,H. Phù Cát (X. Xuân An mới),https://batdongsan.com.vn/ban-dat-xa-cat-tuong/ban-at-nen-du-an-ep-tai-khu-t-c-thon-phu-gia-650-trieu-130-3m2-nhieu-tien-ich-hot-pr45767104
Đất nền dự án,Khu đô thị cẩm văn  Giá bán hấp dẩn cùng tiện ích hiện đại,Giá thỏa thuận,125 m²,,Đông,,,,,TX. An Nhơn,TX. An Nhơn (P. An Nhơn Đông mới),https://batdongsan.com.vn/ban-dat-nen-du-an-duong-quoc-lo-1a-phuong-nhon-hung-1-khu-do-thi-moi-cam-van/o-gia-ban-hap-dan-cung-tien-ich-hien-ai-pr45773001
Đất nền dự án,Bán đất trung tâm giá tốt nhất tại Hưng Định City,400 triệu,70 m²,,,,,,,TX. An Nhơn,TX. An Nhơn (P. Bình Định mới),https://batdongsan.com.vn/ban-dat-nen-du-an-duong-ngo-gia-tu-phuong-binh-dinh-hung-dinh-city/ban-at-trung-tam-tot-nhat-tai-inh-city-pr45803295
Nhà mặt phố,BÁN NHANH CĂN NHÀ NGHỈ ĐANG KD FULL PHÒNG KHU MT HOÀNG VĂN THỤ,"6,5 tỷ",79 m²,,Nam,,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Nam mới),https://batdongsan.com.vn/ban-nha-mat-pho-phuong-quang-trung-7/ban-nhanh-can-nghi-ang-kd-full-phong-khu-mt-hoang-van-thu-pr45698972
Nhà riêng,"Bán nhanh bán homestay 2 tầng DT: 356m2 ngang 12m, phường Ngô Mây",31 tỷ,356 m²,356m2,Nam,2 tầng,,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn Nam mới),https://batdongsan.com.vn/ban-nha-rieng-duong-ngo-may-phuong-ngo-may-1-155/ban-ban-homestay-2-tang-dt-356m2-ngang-12m-may-pr40867201
Cần hộ chung cư,"2,3 tỷ - căn 2PN, 2WC - Tầng 2x (Toà A) căn hộ The Sailing Quy Nhơn - Vận hành Best Western","2,3 tỷ",60 m²,,,,2 PN,2 WC,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-duan-phuong-ly-thuong-kiet-1-the-sailing-quy-nhon/2-3-ty-2pn-2wc-tang-2x-toa-a-van-hanh-best-western-pr45768269
Nhà mặt phố,"Bán nhà mặt phố 64, Trần Cao Vân, 21 tỷ, 195m2, 6PN, pháp lý đầy đủ",21 tỷ,195 m²,"195m2,",,,6 PN,,,TP. Quy Nhơn,TP. Quy Nhơn (P. Quy Nhơn mới),https://batdongsan.com.vn/ban-nha-mat-pho-duong-tran-cao-van-phuong-le-loi-5-155/ban-64-21-ty-195m2-6pn-phap-ly-ay-u-pr45793566
Nhà biệt thự/liền kề,"Bán biệt thự tại Hưng Định City, 5 tỷ VND, 150m2, hàng hiếm tại Đường Ngô Gia Tự",5 tỷ,150 m²,"150m2,",,,,,,TX. An Nhơn,TX. An Nhơn (P. Bình Định mới),https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-ngo-gia-tu-phuong-binh-dinh-hung-dinh-city/ban-tai-inh-5-ty-vnd-150m2-hang-hiem-tai-uong-tu-pr45683928
Đất nền dự án,"Đất nền dự án tại Nhơn Hưng, An Nhơn, Bình Định đang chờ đón chủ nhân mới","2,8 tỷ",125 m²,,Đông,,,,,TX. An Nhơn,TX. An Nhơn (P. An Nhơn Đông mới),https://batdongsan.com.vn/ban-dat-nen-du-an-duong-quoc-lo-1a-phuong-nhon-hung-1-khu-do-thi-moi-cam-van/at-tai-binh-inh-ang-cho-on-chu-nhan-moi-pr45637844
